127.0.0.1 - - [23/Mar/2019:16:05:32 -0400] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:05:49 -0400] "GET /login.jsp HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:05:50 -0400] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:06:00 -0400] "GET /cs336Final/ HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:14:01 -0400] "GET /cs336Final/ HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:14:01 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:14:09 -0400] "POST /cs336Final/loginPage.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:14:09 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:14:35 -0400] "POST /cs336Final/loginPage.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:14:35 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:14:43 -0400] "GET /cs336Final/dash.jsp HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:14:43 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:15:49 -0400] "POST /cs336Final/register.jsp HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:15:56 -0400] "POST /cs336Final/register.jsp HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:16:57 -0400] "GET /cs336Final/ HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:16:57 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:16:59 -0400] "POST /cs336Final/register.jsp HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:16:59 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:17:18 -0400] "POST /cs336Final/registerPage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:17:18 -0400] "GET /cs336Final/index.jsp HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:17:18 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:17:34 -0400] "POST /cs336Final/loginPage.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:17:34 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:17:40 -0400] "GET /cs336Final/dash.jsp HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:17:40 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:17:43 -0400] "GET /cs336Final/sellerDash.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:17:43 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:18:48 -0400] "GET /cs336Final/sellerDash.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:18:48 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:19:17 -0400] "GET /cs336Final/sellerDash.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:19:17 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:19:27 -0400] "GET /cs336Final/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:19:27 -0400] "GET /cs336Final/index.jsp HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:19:27 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:31:52 -0400] "POST /cs336Final/loginPage.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [23/Mar/2019:16:31:52 -0400] "GET /cs336Final/css/index.css HTTP/1.1" 404 1060
